Molecule Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
(S)-(+)-2-Decanol,-12.3561199,-39.72655018,-2.775408562,-8.404765795,0.538260072,-2.298588673,-4.454490815,5.928995466,-6.726753451,-0.540736798,3.226783222,-6.337727422,1.776038494,5.55840255,5.568760032
(S)-(+)-2-Hexanol,-11.26214176,-40.65163934,-5.225127974,-8.931986002,3.145095819,-1.510871075,-3.31640377,9.292525899,-3.321854947,2.568764516,2.961707139,-10.37792169,-2.970020634,-0.338337401,6.879175477
(S)-(-)-2-Methyl-1-butanol,-9.646729942,-36.00718539,-4.309372877,-10.92991641,2.114073904,0.884883616,-0.170130055,0.822558728,-6.476245007,-2.126450147,-2.450434497,-1.193890664,-1.884377542,-6.341640935,4.346601672
(1S)-(-)-α-Pinene,-12.28927079,-42.68912853,-4.361502432,-5.604888578,3.750737733,-3.598604092,-1.191827237,-2.103749601,-12.07840433,-5.517264639,3.608559391,0.013985439,3.532942128,-2.516254515,-4.50304839
(S)-(+)-5-Methyl-1-heptanol,-12.8066952,-39.44622489,-5.613683568,-7.305687965,1.671115175,-1.544506953,-2.564145312,2.211415822,-2.275257199,-0.267526654,-1.572402757,-1.7602719,3.117380342,-5.268277253,-0.183673201
(S)-(+)-3-Methyl-1-pentanol,-12.75664528,-43.05331933,-7.5163798,-4.772502014,3.319628428,-0.149210739,-2.393620696,0.65002974,-3.514608872,1.357940587,1.022833629,-0.710113654,5.446649657,2.241424522,3.488794825
(S)-(+)-4-Methyl-1-hexanol,-14.65011919,-42.1390931,-6.49989157,-6.403799087,4.239991455,-1.45208884,-0.093649922,3.358829801,-4.942133125,1.108416003,-2.470787312,-2.785571073,-0.330466206,-3.026033873,2.144308753
(S)-(-)-β-Citronellol,-8.432059827,-39.4415965,-2.906534952,-7.054124391,0.064283882,0.771673277,-2.82785784,-1.036202526,-2.447379606,0.560428642,-1.369588984,0.243172953,1.127867752,-0.056998772,0.44613259
(1R)-(+)-Camphor,-59.13593886,11.93827834,-6.467476939,-18.7050568,22.28543285,-32.05919314,19.60061737,-32.00195501,-19.56645954,0.825368912,-3.419393711,34.73571178,10.22770141,-4.601619379,4.123697531
(1R)-(-)-Menthyl acetate,-18.82126995,-32.25955205,0.94148005,30.34818413,-12.78161355,-57.53690036,7.953450706,10.05511862,15.78255571,-65.0555947,38.21197494,38.22369414,-13.79242148,28.90940468,-46.55724884
(1S)-(+)-Neomenthyl acetate,16.22289881,38.5552214,-19.54332299,-15.91743362,1.909166437,-42.96584229,-6.995946947,3.284882511,-27.65597571,73.64682821,19.65940637,50.77744692,-3.878532765,-4.508358159,-32.30564618
(R)-(+)-Citronellal,-16.80228358,-25.94980443,0.05743504,-0.157756595,7.264181891,-2.333328255,0.035139646,-0.156392381,-8.47037534,-0.892459225,-7.265952474,-5.165774929,-3.740837939,-3.619127613,0.114753957
(S)-(+)-2-Heptanol,-13.72210832,-39.18890847,-2.806235755,-7.413106937,0.836428952,1.486866358,-4.917791821,-0.038197382,-7.404371662,-0.044092779,4.259726791,-7.946149216,3.415998209,3.477700912,2.643853076
(S)-(+)-2-Butanol,-14.45572067,-40.26874967,-4.173375951,-4.899608922,0.191212557,-2.422950511,-3.859505048,5.659256376,1.40969198,2.42305925,0.864111977,-2.88630727,-7.966080857,-4.124024095,2.797148159
Methyl (S)-(-)-lactate,-6.781991105,7.876687,57.3620577,21.44868323,8.864473208,-46.90981372,5.583960087,-5.591932354,-45.90286491,0.877147811,-14.31878741,10.25966389,18.00515951,0.09978536,-1.985178009
(S)-(+)-2-Nonanol,-20.48577004,-38.33027063,-1.53385581,-9.428574527,2.469371714,-0.47009699,-3.178125343,-0.678091541,-6.468959519,-3.638062616,1.793256479,-2.636612419,2.487983064,1.87296299,3.666418176
(R)-(-)-2-Decanol,-13.55249963,-37.64660898,-3.8796942,-8.113640537,0.459055656,-0.630723513,-0.68754934,-3.994076774,0.493469642,-1.371159591,-7.377475886,6.842327411,-0.858139489,-9.105796042,-2.331114425
(R)-(+)-Methyl 3-hydroxy-2-Methylpropionate,9.705256053,0.820677304,3.977491736,19.97607213,14.1539813,-18.78480001,-0.527524758,8.306679036,-16.38706428,6.694312774,16.08209715,-1.651747491,-1.378026381,6.44065815,-2.165729076
Methyl (S)-(+)-mandelate,4.395659716,6.933959673,126.9593989,37.27518435,-7.233578726,-75.53551155,13.60407168,-9.971035626,12.02378668,-4.633528896,-3.621227812,-6.955169969,-11.16138694,1.04853783,-4.452471506
Ethyl (S)-(+)-mandelate,-37.2557394,27.44805404,149.3306652,52.77413437,12.86035908,-52.94010738,3.894083858,-7.358461336,20.0686267,5.29266789,-4.014427068,-4.870638915,-17.53890857,-1.559775506,0.38647634
(S)-(+)-4-Methyl-2-pentanol,-17.77411966,-40.2972686,-9.678418797,-2.587261233,2.872062881,5.315011162,-7.242946461,-4.410630282,-0.274910564,-1.238144892,7.416057401,-16.54096573,4.706333265,8.613845976,-5.810830788
(R)-(+)-2-Methyl-1-phenyl-1-propanol,-12.79586501,-40.63334254,-2.073615228,-9.034490188,1.679290505,0.101712099,0.116813084,-7.374938042,0.988004874,-0.186607765,-1.703476474,5.186206784,5.954556967,-4.096649735,2.273615443
(1S)-(+)-Menthyl acetate,13.19510168,124.5146048,12.81354691,57.46764109,30.45526513,-14.83778849,-11.34473517,-35.33128654,-35.16412573,91.91849904,-2.058528643,-13.41640041,-8.481712911,0.587897045,17.19730475
(R)-(-)-2-Butanol,-11.55649596,-33.78967899,-5.552351455,-10.44213247,-1.170384487,0.728733562,-2.066267094,-3.767891245,-7.681374337,-5.95406892,-5.912012754,2.824216075,7.474951278,-0.93360565,-0.275869009
(1S)-(+)-4-Oxomyrtenyl pivalate,27.42340752,9.730841444,-3.372033204,85.40685236,16.22054884,2.372787241,56.6429556,-17.88399862,31.21751597,6.389527457,-5.28532667,0.261237636,-0.204866676,9.061153906,-12.79506335
(R)-(-)-2-Pentanol,-8.346149237,-39.71298381,-1.564231896,-7.42275858,0.334598581,-0.723957765,-1.473467946,-2.409638449,-4.184522668,0.216452219,-4.916862881,7.8534398,-1.674047783,-6.782966591,-0.044196115
(-)-Menthone,-14.87746377,11.17030582,-7.677251907,43.94060483,12.96876336,27.60000073,-9.964315481,25.10434241,36.62053423,-8.000600326,-44.62182743,-16.54266218,8.670555092,11.49159391,-1.359557893
L-Menthone,6.952861102,-2.455748169,-9.059848287,38.03061261,15.21450704,27.1804296,-11.61566979,27.45200844,39.67524,-10.03313149,-42.81327552,-16.04702048,5.628560633,12.03736504,-1.290663372
(S)-(+)-2-Octanol,-14.35189179,-35.0935058,-4.736073062,-9.053882437,0.651866051,0.085468925,-4.692552326,4.314918622,-5.894733492,-0.193436226,3.97901446,-7.783527577,-1.931532655,0.958571482,7.399774993
(R)-(-)-2-Hexanol,-13.86272586,-39.4784338,-2.253581165,-7.772954966,1.372259231,-0.799761847,0.142103302,-6.473333888,-4.319180411,-3.009719701,-9.098171207,8.710534055,5.2024136,-5.269803702,-3.398474633
(S)-(+)-2-Chloro-1-propanol,-14.24350242,-39.64713536,1.263194559,-4.45343217,-2.176725262,-5.928844936,-1.066935667,0.993862332,1.016079653,-2.581397149,-2.747321764,11.58337107,1.203900594,-4.185440963,-2.791740171
(R)-(+)-Limonene,-12.7557219,-25.83418824,-10.79178558,-0.14190477,-8.931664327,-2.358039248,-1.25173723,2.175047479,-10.54632461,5.097964795,-3.21167956,-0.415563485,1.805135019,-6.442043133,-6.460002863
(R)-(-)-2-Octanol,-12.75908812,-40.32627512,-2.724457098,-6.505384636,2.035439455,-1.574114863,0.400429549,-2.28481944,-1.155532265,-1.884804958,-9.043696746,6.693014574,1.83188088,-6.389069303,-3.174396034
(R)-(-)-2-Heptanol,-12.64070715,-38.20024233,-4.501213575,-8.472250554,2.344598713,-2.258270253,0.647063457,2.530175902,-0.785550708,-1.190811665,-9.263564621,5.750860395,-2.644716492,-8.659579126,1.39404076
(1S)-(-)-Camphor,-18.42609965,15.06059834,20.99838485,41.17211083,4.005945953,-30.99288918,8.746352538,-7.16060808,15.09661155,4.463094868,-5.725366427,-58.56233565,6.445566866,2.812893255,12.02923256
Methyl (R)-(+)-lactate,32.66609499,35.13575367,-55.00026923,19.77325001,41.71675646,-19.69485295,11.85226143,-28.76490667,37.41424524,19.73650982,8.004736913,-17.0494948,-13.54255762,13.79576761,3.216715913
(R)-(-)-4-Methyl-2-pentanol,-13.20250732,-33.07847975,0.887667825,-11.20418963,-1.754312522,-7.5444499,2.631375851,7.406498592,-6.780288947,-1.611630107,-12.26176216,15.69334743,-5.037906664,-13.77752042,9.044652846
(S)-(-)-Methyl 3-hydroxy-2-Methylpropionate,-0.540123195,13.55011721,12.66788677,30.07154225,6.450963319,-7.409683558,-2.320248785,-17.44080463,12.86819678,-8.300189586,-16.30740117,9.104886538,1.366928358,-0.495456316,-3.856402145
(R)-(+)-2-Methyl-1-phenyl-1-propanol,-13.34349792,-33.87209952,-2.295273567,-2.746241312,-2.667812964,0.7091575,-0.724750111,-9.43945636,1.645641735,-0.562942312,-1.543414172,6.176485827,6.440652569,-4.013132875,2.319179392
(R)-(-)-2-Nonanol,-16.94469237,-34.80306643,-6.01004299,-8.094067788,0.849053928,0.180714762,-0.309628475,2.354224677,-0.994748645,1.632708449,-8.414631114,1.58478355,-2.23167977,-9.114699865,0.195910117
(1S)-(+)-3-Carene,-13.7972262,-35.80661265,-1.442057359,-6.684062964,-2.417134603,0.249120268,3.139350731,1.30932019,-5.171138516,-1.2451263,-4.474690525,0.196591459,1.045184448,-4.4587308,3.186731036
(S)-(-)-Limonene,-18.00139174,-39.11872892,4.93856211,-3.974817036,-0.569412166,2.236620588,-1.937423042,-0.904075412,1.005305281,-1.718554736,-3.485824348,-2.845172761,1.660273291,-3.122695403,10.17340002
